ingredient,function,form,id_test,assay,type,sort_name
Ferrous Gluconate,"Color Adjunct, Nutrient","Fine, Yellow Gray Or Pale Green Yellow Powder Or Granules",All ID tests listed in monograph,All assays listed in monograph,pending,Ferrousgluconate
Ferrous Glycinate,Source Of Dietary Iron,"Fine, Free Flowing Powder",Iron (ferrous salts),Procedure,high_suscept,Ferrousglycinate
Ferrous Lactate,Nutrient,Green White Powder Or As Crystals,All ID tests listed in monograph,All assays listed in monograph,pending,Ferrouslactate
Ferrous Sulfate,Nutrient,"Pale, Blue Green Crystals Or Granules That Are Efflorescent In Dry Air",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ferroussulfate
"Ferrous Sulfate, Dried",Nutrient,Gray White To Buff Colored Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Ferroussulfatedried
"Fir Needle Oil, Canadian Type",Flavoring Agent,Colorless To Faintly Yellow Liquid,Infrared spectra,Esters,high_suscept,Firneedleoilcanadiantype
"Fir Needle Oil, Siberian Type",Flavoring Agent,Almost Colorless Or Faintly Yellow Liquid,Infrared spectra,Esters,high_suscept,Firneedleoilsiberiantype
Folic Acid,Nutrient,Yellow Or Yellow Orange Crystals Or Crystalline Powder,Ultraviolet absorption,Procedure,pending,Folicacid
"Food Starch, Modified","Binder, Colloidal Stabilizer, Thickener","White Or Nearly White Powder, Intact Granules, Or Flakes, Amorphous Powders, Or Coarse Particles",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Foodstarchmodified
"Food Starch, Unmodified","Binder, Colloidal Stabilizer, Thickener","White Or Nearly White Powder, Intact Granules, Or Flakes, Amorphous Powders, Or Coarse Particles",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Foodstarchunmodified
Formic Acid,"Flavoring Adjunct, Preservative","Clear, Colorless, Highly Corrosive Liquid",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Formicacid
"Fructooligosaccharides, Short Chain","Bulking Agent, Prebiotic, Source Of Dietary Fiber, Sweetener",See Monograph,Procedure,Procedure,high_suscept,Fructooligosaccharidesshortchain
Fructose,Nutritive Sweetener,"White, Hygroscopic, Purified Crystals Or Purified Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Fructose
Fumaric Acid,"Acidifier, Flavoring Agent",White Granules Or Crystalline Powder,Infrared absorption,Procedure,high_suscept_id,Fumaricacid
Furcelleran,"Gelling Agent, Stabilizer, Thickener","Brown Or Tan To White, Coarse Or Fine Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Furcelleran
Furfural,Flavoring Agent,Colorless To Yellow Oily Liquid,Infrared spectra,Procedure,pending,Furfural
Furfuryl Alcohol,Flavoring Agent,Pale Yellow To Brown Liquid,Infrared spectra,Procedure,pending,Furfurylalcohol
Furfuryl Mercaptan,Flavoring Agent,Yellow To Brown Liquid,Infrared spectra,Procedure,pending,Furfurylmercaptan
2 Furyl Methyl Ketone,Flavoring Agent,Yellow To Brown Liquid,Infrared spectra,Procedure,pending,Furylmethylketone
"Fusel Oil, Refined",Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,"Fuseloil,Refined"
Garlic Oil,Flavoring Agent,Clear Yellow To Red Orange Liquid,Infrared spectra,None,high_suscept_id,Garlicoil
Gelatin,"Firming Agent, Stabilizer, Surface Active Agent, Surface Finishing Agent, Thickener","Vitreous, Brittle Solid That Is Faintly Yellow",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Gelatin
Gellan Gum,"Stabilizer, Thickener",Off White Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept,Gellangum
Geraniol,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Geraniol
"Geranium Oil, Algerian Type",Flavoring Agent,Light To Deep Yellow Liquid,Infrared spectra,Procedure,high_suscept,Geraniumoilalgeriantype
Geranyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Geranylacetate
Geranyl Benzoate,Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Geranylbenzoate
Geranyl Butyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Geranylbutyrate
Geranyl Formate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Geranylformate
Geranyl Isovalerate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Geranylisovalerate
Geranyl Phenylacetate,Flavoring Agent,Yellow Liquid,Infrared spectra,Procedure,pending,Geranylphenylacetate
Geranyl Propionate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Geranylpropionate
Gibberellic Acid,Enzyme Activator,"White To Pale Yellow, Crystalline Powder",Procedure,Procedure,high_suscept_id,Gibberellicacid
Ginger Oil,Flavoring Agent,Light Yellow To Yellow Liquid,Infrared spectra,None,high_suscept,Gingeroil
Glucono Delta Lactone,"Acidifier, Leavening Agent, Sequestrant","Fine, White, Crystalline Powder",Thin-layer chromatography,Procedure,high_suscept_id,Gluconodeltalactone
Glucose Syrup,Nutritive Sweetener,"Clear, White To Light Yellow, Viscous Liquid",Procedure,Reducing sugars assay,high_suscept,Glucosesyrup
"Glucose Syrup, Dried",Nutritive Sweetener,White To Light Yellow Powder Or Granules,Procedure,Reducing sugars assay,high_suscept,Glucosesyrupdried
L Glutamic Acid,"Nutrient, Salt Substitute","White, Free Flowing, Crystalline Powder",Infrared absorption,Procedure,pending,Glutamicacid3
L Glutamic Acid Hydrochloride,"Flavoring Agent, Nutrient, Salt Substitute","White, Crystalline Powder",Infrared spectra,Procedure,high_suscept_id,Glutamicacidhydrochloride3
L Glutamine,Nutrient,White Crystals Or Crystalline Powder,Infrared absorption,Procedure,high_suscept_id,Glutamine3
Glutaraldehyde,"Antimicrobial For Sugar Milling, Cross Linking Agent For Microencapsulating Flavoring Substances, Fixing Agent In The Immobilization Of Enzyme Preparations","Clear, Nearly Colorless, Aqueous Solution",Melting range or temperature determination,Procedure,pending,Glutaraldehyde
Glycerin,"Bodying Agent, Humectant, Plasticizer, Solvent","Clear, Colorless, Viscous Liquid",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Glycerin
Glycerol Ester Of Gum Rosin,"Beverage Stabilizer, Masticatory Substance In Chewing Gum Base","Hard, Pale, Amber Colored Resin",Infrared spectra,None,pending,Glycerolesterofgumrosin
Glycerol Ester Of Partially Dimerized Rosin,Masticatory Substance In Chewing Gum Base,"Hard, Pale, Amber Colored Resin",Infrared spectra,None,high_suscept,Glycerolesterofpartiallydimerizedrosin
Glycerol Ester Of Partially Hydrogenated Gum Rosin,Masticatory Substance In Chewing Gum Base,"Medium Hard, Pale Amber Colored Resin",Infrared spectra,None,high_suscept,Glycerolesterofpartiallyhydrogenatedgumrosin
Glycerol Ester Of Partially Hydrogenated Wood Rosin,Masticatory Substance In Chewing Gum Base,"Medium Hard, Pale Amber Colored Resin",Infrared spectra,None,high_suscept,Glycerolesterofpartiallyhydrogenatedwoodrosin
Glycerol Ester Of Polymerized Rosin,Masticatory Substance In Chewing Gum Base,"Hard, Pale, Amber Colored Resin",Infrared spectra,None,high_suscept,Glycerolesterofpolymerizedrosin
Glycerol Ester Of Tall Oil Rosin,Masticatory Substance In Chewing Gum Base,Pale Amber Colored Resin,Infrared spectra,None,pending,Glycerolesteroftalloilrosin
Glycerol Ester Of Wood Rosin,Masticatory Substance In Chewing Gum Base,"Hard, Pale, Amber Colored Resin",Infrared spectra,None,high_suscept,Glycerolesterofwoodrosin
Glyceryl Behenate,"Emulsifier, Texturizer",Fine Powder,All ID tests listed in monograph,All assays listed in monograph,pending,Glycerylbehenate
Glyceryl Lacto Esters Of Fatty Acids,"Emulsifier, Stabilizer",Waxy Solid That Varies In Consistency From Soft To Hard,Procedure,None,high_suscept_id,Glyceryllactoestersoffattyacids
Glyceryl Monooleate,"Emulsifier, Flavoring Agent",Clear Liquid,Fatty acid composition,Procedure,low_suscept,Glycerylmonooleate
Glyceryl Monostearate,Emulsifier,"White, Wax Like Solid, Flakes, Or Beads",Procedure,Procedure,high_suscept_id,Glycerylmonostearate
Glyceryl Palmitostearate,Emulsifier,Fine Powder Or Waxy Solid,Procedure,None,pending,Glycerylpalmitostearate
Glyceryl Tripropanoate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Glyceryltripropanoate
Glyceryl Tristearate,"Crystallization Accelerator, Lubricant, Surface Finishing Agent","White, Microfine, Crystalline Powder",Fatty acid composition,None,high_suscept_id,Glyceryltristearate
Glycine,Nutrient,"White, Crystalline Powder",Infrared absorption,Procedure,high_suscept_id,Glycine
"Grapefruit Oil, Coldpressed",Flavoring Agent,"Yellow, Sometimes Red Liquid That Often Shows A Flocculent Separation Of Waxy Material",Infrared spectra,None,pending,"Grapefruitoil,Coldpressed"
Grape Skin Extract,Color,Red To Purple Powder Or Liquid Concentrate,Procedure,Procedure,high_suscept,Grapeskinextract
Guar Gum,"Emulsifier, Stabilizer, Thickener",White To Yellow White Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept,Guargum
Gum Arabic,"Emulsifier, Stabilizer","Dried, Gummy Exudation",Procedure,None,high_suscept,Gumarabic
Gum Ghatti,Emulsifier,"Colorless Or Light To Dark Tan Tears, Or A Gray To Red Gray Powder",Procedure,None,high_suscept,Gumghatti
Gum Guaiac,Antioxidant,"Irregular Masses Enclosing Fragments Of Vegetable Tissues; Large, Nearly Homogeneous Masses; Or More Or Less Rounded Or Ovoid Tears",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Gumguaiac
Helium,Processing Aid,Colorless Gas,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Helium
"(E),(E) 2,4 Heptadienal",Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Heptadienal
Gamma Heptalactone,Flavoring Agent,"Colorless, Slightly Oily Liquid",Infrared spectra,Procedure,pending,Heptalactone
Heptanal,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Heptanal
"2,3 Heptandione",Flavoring Agent,Yellow Liquid,Infrared spectra,Procedure,pending,Heptandione
2 Heptanone,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Heptanone1
3 Heptanone,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Heptanone2
(Z) 4 Hepten 1 Al,Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Heptenal
Heptyl Alcohol,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Heptylalcohol
Heptylparaben,"Antimicrobial Agent, Preservative","Small, Colorless Crystals Or White, Crystalline Powder",Melting range or temperature,Procedure,high_suscept_id,Heptylparaben
Gamma Hexalactone,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Hexalactone6
Hexanal,Flavoring Agent,Almost Colorless Liquid,None,Procedure,pending,Hexanal
Hexanes,Extraction Solvent,"Clear, Colorless, Flammable Liquid",None,None,high_suscept_id,Hexanes
Hexanoic Acid,Flavoring Agent,"Colorless To Very Pale Yellow, Oily Liquid",Infrared spectra,Procedure,pending,Hexanoicacid
(E) 2 Hexen 1 Al,Flavoring Agent,Pale Yellow Liquid,None,Procedure,pending,Hexenal
(E) 2 Hexen 1 Ol,Flavoring Agent,Almost Colorless Liquid,Infrared spectra,Procedure,pending,Hexenol1
(Z) 3 Hexenol,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Hexenol2
(E) 2 Hexenyl Acetate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Hexenylacetate1
(Z) 3 Hexenyl Acetate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Hexenylacetate2
(Z) 3 Hexenyl Butyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Hexenylbutyrate
(Z) 3 Hexenyl Formate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Hexenylformate
(Z) 3 Hexenyl Isovalerate,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Hexenylisovalerate
(Z) 3 Hexenyl 2 Methylbutyrate,Flavoring Agent,Almost Colorless Liquid,None,Procedure,pending,Hexenylmethylbutyrate
Hexyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Hexylacetate
Hexyl Alcohol,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Hexylalcohol
Hexyl 2 Butenoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Hexylbutenoate
Hexyl Butyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Hexylbutyrate
Alpha Hexylcinnamaldehyde,Flavoring Agent,Pale Yellow Liquid,Infrared spectra,Procedure,pending,Hexylcinnamaldehyde
Hexyl Hexanoate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Hexylhexanoate
Hexyl Isovalerate,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Hexylisovalerate
Hexyl 2 Methylbutyrate,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Hexylmethylbutyrate
4 Hexylresorcinol,"Color Stabilizer, Enzymatic Browning Inhibitor",White Powder,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Hexylresorcinol
High Fructose Corn Syrup,Nutritive Sweetener,"Water White To Light Yellow, Somewhat Viscous Liquid",Procedure,Procedure,high_suscept,Highfructosecornsyrup
L Histidine,Nutrient,White Crystals Or Crystalline Powder,Infrared absorption,Procedure,high_suscept_id,Histidine3
L Histidine Monohydrochloride,Nutrient,White Crystals Or Crystalline Powder,Infrared spectra,Procedure,high_suscept_id,Histidinemonohydrochloride3
Hops Oil,Flavoring Agent,Light Yellow To Green Yellow Liquid,Infrared spectra,None,high_suscept,Hopsoil
Hydrochloric Acid,Acidifier,"Clear, Colorless Or Slightly Yellow, Corrosive Liquid",Chloride,Procedure,high_suscept_id,Hydrochloricacid
Hydrogenated Starch Hydrolysate,"Crystal Modification Agent, Humectant, Stabilizer, Texturizing Agent, Thickener","Concentrated, Aqueous Solution Or Spray Dried Or Dried Powder",None,Procedure,high_suscept,Hydrogenatedstarchhydrolysate
Hydrogen Peroxide,"Antimicrobial Agent, Bleaching, Oxidizing Agent, Starch Modifier","Clear, Colorless Liquid",Procedure,Procedure,high_suscept_id,Hydrogenperoxide
Hydroxycitronellal,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Hydroxycitronellal
Hydroxycitronellal Dimethyl Acetal,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Hydroxycitronellaldimethylacetal
"4 Hydroxy 2,5 Dimethyl 3(2 H) Furanone",Flavoring Agent,White To Pale Yellow Solid,Infrared spectra,Procedure,pending,Hydroxydimethylfuranone
"6 Hydroxy 3,7 Dimethyloctanoic Acid Lactone",Flavoring Agent,"Colorless, Low Melting Solid",None,Procedure,pending,Hydroxydimethyloctanoicacidlactone
Hydroxylated Lecithin,"Clouding Agent, Emulsifier",Light Yellow Substance That May Vary In Consistency From Fluid To Plastic,None,None,high_suscept_id,Hydroxylatedlecithin
4 (P Hydroxyphenyl) 2 Butanone,Flavoring Agent,White Solid,Infrared absorption,Procedure,pending,Hydroxyphenylbutanone
Hydroxypropyl Cellulose,"Emulsifier, Film Coating, Protective Colloid, Stabilizer, Suspending Agent, Thickener",White Powder,All ID tests listed in monograph,All assays listed in monograph,pending,Hydroxypropylcellulose
Hydroxypropyl Methylcellulose,"Emulsifier, Stabilizer, Thickening Agent","White To Off White, Fibrous Powder Or Granules",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Hydroxypropylmethylcellulose
Indigotine,Color,Blue Brown To Red Brown Powder Or As Granules,Procedure,Total color,pending,Indigotine
Indole,Flavoring Agent,"White, Lustrous, Flaky, Crystalline Solid",Infrared spectra,Procedure,pending,Indole
Inositol,Nutrient,"Fine, White Crystals Or White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Inositol
Inulin,"Binder, Bulking Agent, Source Of Dietary Fiber, Texturizer",White Powder,Procedure,Procedure,high_suscept,Inulin
Invert Sugar,Nutritive Sweetener,Hygroscopic Liquid,Procedure,Invert sugar,high_suscept,Invertsugar
Alpha Ionone,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Ionone4
Beta Ionone,Flavoring Agent,Colorless To Pale Straw Colored Liquid,Infrared spectra,Procedure,pending,Ionone5
"Iron, Carbonyl",Nutrient,Dark Gray Powder,Ferrous salts,Procedure,high_suscept_id,Ironcarbonyl
"Iron, Electrolytic",Nutrient,"Amorphous, Lusterless, Gray Black Powder",Ferrous salts,Procedure,high_suscept_id,Ironelectrolytic
"Iron, Reduced",Nutrient,Gray Black Powder,Ferrous salts,Procedure,pending,Ironreduced
Isoamyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isoamylacetate
Isoamyl Alcohol,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Isoamylalcohol
Isoamyl Benzoate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Isoamylbenzoate
Isoamyl Butyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isoamylbutyrate
Isoamyl Cinnamate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Isoamylcinnamate
Isoamyl Formate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isoamylformate
Isoamyl Hexanoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isoamylhexanoate
Isoamyl Isobutyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Isoamylisobutyrate
Isoamyl Isovalerate,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Isoamylisovalerate
Isoamyl Phenyl Acetate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Isoamylphenylacetate
Isoamyl Salicylate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isoamylsalicylate
Isoborneol,Flavoring Agent,White Crystalline Solid,Infrared spectra,None,pending,Isoborneol
Isobornyl Acetate,Flavoring Agent,Colorless Liquid (When Fresh),Infrared spectra,Procedure,pending,Isobornylacetate
Isobutane,"Aerating Agent, Propellant","Colorless, Flammable Gas",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Isobutane
Isobutyl Acetate,Flavoring Agent,Colorless Liquid,Infrared absorption,Procedure,pending,Isobutylacetate
Isobutyl Alcohol,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Isobutylalcohol
Isobutyl 2 Butenoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isobutylbutenoate
Isobutyl Butyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isobutylbutyrate
Isobutyl Cinnamate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isobutylcinnamate
Isobutylene Isoprene Copolymer,Masticatory Substance In Chewing Gum Base,See Monograph,Infrared spectra,None,high_suscept,Isobutyleneisoprenecopolymer
Isobutyl Formate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Isobutylformate
Isobutyl Hexanoate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Isobutylhexanoate
Isobutyl Phenylacetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isobutylphenylacetate
Isobutyl Salicylate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isobutylsalicylate
Isobutyraldehyde,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Isobutyraldehyde
Isobutyric Acid,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isobutyricacid
Isoeugenol,Flavoring Agent,"Pale Yellow, Viscous Liquid",Infrared spectra,Procedure,pending,Isoeugenol
Isoeugenyl Acetate,Flavoring Agent,White Crystalline Solid,Infrared spectra,Procedure,pending,Isoeugenylacetate
Dl Isoleucine,Nutrient,White Crystalline Powder,Infrared spectra,Procedure,pending,Isoleucine2
L Isoleucine,Nutrient,"Crystalline Leaflets Or White, Crystalline Powder",Infrared absorption,Procedure,high_suscept_id,Isoleucine3
Isomalt,"Formulation Aid, Nutritive Sweetener, Stabilizer And Thickener, Surface Finishing Agent, Texturizer",White Crystalline Slightly Hygroscopic Substance,Thin-layer chromatography,Procedure,high_suscept,Isomalt
Isomaltulose,"Formulation And Texturizing Aid, Nutritive Sweetener","White Or Colorless, Crystalline, Sweet Substance",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Isomaltulose
Isopropyl Acetate,Flavoring Agent,"Colorless, Mobile Liquid",Infrared absorption,Procedure,pending,Isopropylacetate
Isopropyl Alcohol,Extraction Solvent,"Clear, Colorless, Flammable Liquid",Refractive index,Procedure,high_suscept_id,Isopropylalcohol
Isopulegol,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Isopulegol
Isovaleric Acid,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Isovalericacid
Juniper Berries Oil,Flavoring Agent,"Colorless, Faintly Green Or Yellow Liquid",Infrared spectra,None,high_suscept,Juniperberriesoil
Kaolin,Anticaking Agent,"Fine, White To Yellow White Or Gray Powder That Becomes Darker When Moistened",Procedure,None,high_suscept,Kaolin
Karaya Gum,"Emulsifier, Stabilizer, Thickener","Tears Of Variable Size Or Broken, Irregular Pieces Having A Somewhat Crystalline Appearance",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Karayagum
Kelp,"Nutrient, Source Of Iodine","Dark Green To Olive Brown, Dry Substance",None,None,pending,Kelp
Konjac Flour,"Film Former, Gelling Agent, Stabilizer, Thickener",Cream To Light Tan Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept,Konjacflour
Labdanum Oil,Flavoring Agent,"Golden Yellow, Viscous Liquid",Infrared spectra,None,high_suscept_id,Labdanumoil
Alpha Lactalbumin,"Nutrient, Source Of Alpha Lactalbumin, Source Of Tryptophan","Homogenous, Free Flowing, Semi Hygroscopic, Light Cream Colored Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Lactalbumin
Lactic Acid,Acidifier,"Colorless Or Yellow, Syrupy Liquid",Lactate,Procedure,high_suscept_id,Lacticacid
Lactitol,"Humectant, Stabilizer, Sweetener","White, Crystalline Powder",Thin-layer chromatography,Procedure,low_suscept,Lactitol
Lactose,"Humectant (Anhydrous Form), Nutritive Sweetener, Processing Aid, Texturizer","White To Creamy White, Crystalline Powder",Procedure,Lactose,high_suscept_id,Lactose
Lactylated Fatty Acid Esters Of Glycerol And Propylene Glycol,"Emulsifier, Plasticizer, Stabilizer, Whipping Agent","Varies In Consistency From A Soft Solid To A Hard, Waxy Solid",Gas chromatography,None,high_suscept,Lactylatedfattyacidestersofglycerolandpropyleneglycol
Lactylic Esters Of Fatty Acids,"Emulsifier, Surface Active Agent","Liquids To Hard, Waxy Solids",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Lactylicestersoffattyacids
"Lanolin, Anhydrous",Masticatory Substance In Chewing Gum Base,"Purified, Yellow White, Semisolid, Fat Like Substance",None,None,high_suscept,Lanolinanhydrous
Lard (Unhydrogenated),"Coating Agent, Texturizer",Soft To Semisolid,Fatty acid composition,None,high_suscept,Lardunhydrogenated
Laurel Leaf Oil,"Component In The Manufacture Of Other Food Grade Additives, Defoaming Agent","White Or Faintly Yellow, Somewhat Glossy, Crystalline Solid Or Powder",None,None,pending,Laurelleafoil
Lauric Acid,"Component In The Manufacture Of Other Food Grade Additives, Defoaming Agent","Faintly Yellow, Somewhat Glossy, Crystalline Solid Or Powder",None,None,high_suscept_id,Lauricacid
Lauryl Alcohol,Flavoring Agent,Colorless Liquid (Above 21 Degrees),Infrared spectra,Procedure,pending,Laurylalcohol
Lauryl Aldehyde,Flavoring Agent,Colorless To Light Yellow Liquid (That Can Solidify At Room Temperature),Infrared spectra,Procedure,pending,Laurylaldehyde
"Lavandin Oil, Abrial Type",Flavoring Agent,Pale Yellow To Yellow Liquid,Infrared spectra,Ester determination,pending,Lavandinoilabrialtype
Lavender Oil,Flavoring Agent,Colorless Or Yellow Liquid,Infrared spectra,Ester determination,high_suscept,Lavenderoil
Lecithin,"Antioxidant, Emulsifier",Substance Varying In Consistency From Plastic To Fluid; Color Varies From Light Yellow To Brown,None,None,high_suscept,Lecithin
Lemongrass Oil,Flavoring Agent,"Dark Yellow To Light Brown Red Liquid (East Indian Type), Or Light Yellow To Light Brown Liquid (West Indian Type)",Infrared spectra,Procedure,high_suscept,Lemongrassoil
"Lemon Oil, Coldpressed",Flavoring Agent,Pale To Deep Yellow Or Green Yellow Liquid,Infrared spectra,Aldehydes,high_suscept,Lemonoilcoldpressed
"Lemon Oil, Desert Type, Coldpressed",Flavoring Agent,Pale To Deep Yellow Or Green Yellow Liquid,Infrared spectra,Aldehydes,high_suscept,Lemonoildeserttypecoldpressed
"Lemon Oil, Distilled",Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,None,high_suscept,Lemonoildistilled
Dl Leucine,Nutrient,"Small, White Crystals Or Crystalline Powder",Infrared spectra,Procedure,high_suscept_id,Leucine2
L Leucine,Nutrient,"Small, White, Lustrous Plates Or White, Crystalline Powder",Infrared absorption,Procedure,pending,Leucine3
Levulinic Acid,Flavoring Agent,"Yellow To Brown Liquid, May Congeal",Infrared spectra,Procedure,pending,Levulinicacid
"Lime Oil, Coldpressed",Flavoring Agent,Yellow To Brown Green To Green Liquid That Often Shows A Waxy Separation,Infrared spectra,Aldehydes,high_suscept,Limeoilcoldpressed
"Lime Oil, Distilled",Flavoring Agent,Colorless To Green Yellow Liquid,Infrared spectra,None,high_suscept,Limeoildistilled
"Limestone, Ground","Modifier For Chewing Gum Base And Chewing Gum, Release Agent, Texturizing Agent","Fine, White To Off White, Microcrystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Limestoneground
(Ã�) Limonene,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Limonene
Linaloe Wood Oil,Flavoring Agent,Colorless To Yellow Liquid,Infrared spectra,Alcohols,high_suscept,Linaloewoodoil
Linalool,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Linalool
Linalool Oxide,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Linalooloxide
Linalyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Linalylacetate
Linalyl Benzoate,Flavoring Agent,Yellow To Brown Yellow Liquid,Infrared spectra,Procedure,pending,Linalylbenzoate
Linalyl Formate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Linalylformate
Linalyl Isobutyrate,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Linalylisobutyrate
Linalyl Propionate,Flavoring Agent,Colorless Or Almost Colorless Liquid,Infrared spectra,Procedure,pending,Linalylpropionate
Linoleic Acid,"Flavoring Adjuvant, Nutrient","Colorless To Pale Yellow, Oily Liquid",Fatty acid composition,Fatty acid composition,low_suscept,Linoleicacid
Locust (Carob) Bean Gum,"Stabilizer, Thickener",White To Yellow White Powder,All ID tests listed in monograph,All assays listed in monograph,pending,Locustcarobbeangum
Lovage Oil,Flavoring Agent,Yellow Green Brown To Deep Brown Liquid,Infrared spectra,None,high_suscept,Lovageoil
