classification,date_case,date_last_change,reference,country,type,category,subject,hazard,chemical,amount,product,origin
border rejection,13/01/2011,14/02/2011,2011.ABL,Greece,food,"soups, broths, sauces and condiments",too high content of E 210 - benzoic acid (1166 mg/kg - ppm) in tkemali green sauce from Georgia,fa,E 210 - benzoic acid,1166 mg/kg - ppm,tkemali green sauce,Georgia
border rejection,13/01/2011,13/01/2011,2011.ABM,Greece,food,"soups, broths, sauces and condiments",too high content of E 210 - benzoic acid (1085 mg/kg - ppm) in tomato sauce from Georgia,fa,E 210 - benzoic acid,1085 mg/kg - ppm,tomato sauce,Georgia
border rejection,10/01/2011,24/01/2011,2011.AAU,Italy,food,fish and fish products,unauthorised food additive E 637 - ethyl maltol in frozen fish and shrimp products from China,fa,food additive E 637 - ethyl maltol,,frozen fish and shrimp products,China
border rejection,05/01/2011,05/01/2011,2011.AAM,United Kingdom,food,"nuts, nut products and seeds",unauthorised use of colour E 127 - erythrosine in sugar coated fennel seeds from India,fa,colour E 127 - erythrosine,,sugar coated fennel seed,India
border rejection,29/12/2010,29/12/2010,2010.CIT,Italy,food,cereals and bakery products,unauthorised use of colour E 102 - tartrazine and of colour E 110 - Sunset Yellow FCF in plantain flour from Ghana,fa,colour E 102 - tartrazine,,plantain flour,Ghana
alert,23/12/2010,13/01/2011,2010.1758,Finland,food,"nuts, nut products and seeds","undeclared sulphite (118; 18; 135; 49; 150 mg/kg - ppm) in organic coconut flour from the Philippines, packaged in Germany",fa,sulphite,118; 18; 135; 49; 150 mg/kg - ppm,organic coconut flour,"the Philippines, packaged in Germany"
information,14/12/2010,07/02/2011,2010.1693,Slovakia,food,herbs and spices,unauthorised use of colour E 123 - amaranth (20.52 mg/kg - ppm) in spice mixture from the Czech Republic,fa,colour E 123 - amaranth,20.52 mg/kg - ppm,spices,the Czech Republic
information,13/12/2010,20/12/2010,2010.1688,Italy,food,non-alcoholic beverages,undeclared caffeine in soft drink from Peru,fa,caffeine,,carbonated soft drink,Peru
information,10/12/2010,10/12/2010,2010.1675,United Kingdom,food,"soups, broths, sauces and condiments",undeclared sulphite (20 mg/kg - ppm) in pomegranate molasses from Syria,fa,sulphite,20 mg/kg - ppm,pomegranate molasses,Syria
information,09/12/2010,20/12/2010,2010.1671,Greece,food,cereals and bakery products,unauthorised use of colour E 124 - Ponceau 4R / cochineal red A (73.2 mg/kg - ppm) in rose petal shaped pasta from Greece,fa,colour E 124 - Ponceau 4R / cochineal red A,73.2 mg/kg - ppm,rose petal shaped pasta,Greece
border rejection,08/12/2010,01/03/2011,2010.CEW,United Kingdom,food,herbs and spices,unauthorised use of colour E 127 - erythrosine in sugar coated fennel from India,fa,colour E 127 - erythrosine,,sugar coated fennel seed,India
border rejection,08/12/2010,08/12/2010,2010.CEZ,Cyprus,food,confectionery,unauthorised use of colour E 143 - fast green FCF / FD&C green in cake decorations from the United States,fa,colour E 143 - fast green FCF / FD&C green,,cake decoration,the United States
border rejection,08/12/2010,08/12/2010,2010.CEY,Cyprus,food,confectionery,unauthorised use of colour E 143 - fast green FCF / FD&C green in cake decorations from the United States,fa,colour E 143 - fast green FCF / FD&C green,,cake decoration,the United States
information,03/12/2010,07/01/2015,2010.1647,Czech Republic,food,fruits and vegetables,"too high content of sulphite (656 mg/kg - ppm) in dried candied pears from China, packaged in Slovakia, via Germany and via the Netherlands",fa,sulphite,656 mg/kg - ppm,dried candied pears,"China, packaged in Slovakia, via Germany and via the Netherlands"
information,01/12/2010,28/12/2010,2010.1638,Greece,food,non-alcoholic beverages,"too high content of E 211 - sodium benzoate (199.8 mg/l), undeclared colour E 122 - azorubine and E 200 - sorbic acid in and incorrect labelling on pomegranate concentrate from Spain",fa,E 211 - sodium benzoate,199.8 mg/l,and incorrect labelling on pomegranate concentrate,Spain
information,25/11/2010,22/12/2010,2010.1608,Germany,food,"soups, broths, sauces and condiments","E 216 - propyl p-hydroxybenzoate (90.2 mg/kg - ppm) and E 214 - Ethyl-p-hydroxybenzoate (123 mg/kg - ppm) unauthorised in soy sauce from China, via Hong Kong",fa,E 216 - propyl p-hydroxybenzoate,90.2 mg/kg - ppm,soy sauce,"China, via Hong Kong"
border rejection,24/11/2010,07/01/2015,2010.CCH,Spain,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (sum of benzoates: 840 ; 920 mg/kg - ppm) and of sulphite (544; 698 mg/l) in orange juice concentrate from Israel,fa,E 210 - benzoic acid,sum of benzoates: 840 ; 920 mg/kg - ppm,orange juice concentrate,Israel
border rejection,22/11/2010,25/07/2011,2010.CBJ,Slovakia,food,confectionery,high content of caffeine (674.39 mg/kg - ppm) in guarana jelly mints from Croatia,fa,caffeine,674.39 mg/kg - ppm,guarana jelly mints,Croatia
border rejection,22/11/2010,25/07/2011,2010.CBI,Slovakia,food,confectionery,high content of caffeine (685.82 mg/kg - ppm) in guarana jelly mints from Croatia,fa,caffeine,685.82 mg/kg - ppm,guarana jelly mints,Croatia
information,22/11/2010,26/01/2011,2010.1589,Slovakia,food,fish and fish products,"too high content of the sum of colour E 102 - tartrazine, of colour E 124 - Ponceau 4R / cochineal red A and of colour E 151 - Brilliant Black BN / Black PN in black capelin caviar from Denmark, via the Czech Republic",fa,"the sum of colour E 102 - tartrazine, of colour E 124 - Ponceau 4R / cochineal red A",,black capelin caviar,"Denmark, via the Czech Republic"
information,22/11/2010,25/01/2011,2010.1592,Cyprus,food,confectionery,too high content of colour E 110 - Sunset Yellow FCF (378; 292 mg/kg - ppm) in ice cream cones from Greece,fa,colour E 110 - Sunset Yellow FCF,378; 292 mg/kg - ppm,ice cream cones,Greece
border rejection,19/11/2010,20/12/2010,2010.CAT,Greece,food,fruits and vegetables,undeclared sulphite (20.6 mg/kg - ppm) in red roasted peppers from Turkey,fa,sulphite,20.6 mg/kg - ppm,red roasted peppers,Turkey
alert,19/11/2010,06/12/2010,2010.1584,Slovenia,food,cereals and bakery products,too high content of coumarin (130 mg/kg - ppm) in organic apple and cinnamon muesli from the Netherlands,fa,coumarin,130 mg/kg - ppm,organic apple and cinnamon muesli,the Netherlands
information,18/11/2010,28/01/2011,2010.1575,Finland,food,confectionery,"unauthorised use of colour E 123 - amaranth in cracker and wafer sandwich filled with chocolate cream from the Philippines, via the Netherlands",fa,colour E 123 - amaranth,,cracker and wafer sandwich filled with chocolate cream,"the Philippines, via the Netherlands"
information,17/11/2010,17/11/2010,2010.1570,Finland,food,herbs and spices,"unauthorised use of colour E 160b - annato/bixin/norbixin in curry powder from Vietnam, via the Netherlands",fa,colour E 160b - annato/bixin/norbixin,,curry powder,"Vietnam, via the Netherlands"
information,17/11/2010,17/11/2010,2010.1567,Finland,food,non-alcoholic beverages,"unauthorised use of colour E 143 - fast green FCF / FD&C green in canned soft drink from Thailand, via the Netherlands",fa,colour E 143 - fast green FCF / FD&C green,,canned soft drink,"Thailand, via the Netherlands"
information,16/11/2010,16/12/2010,2010.1565,Finland,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (185 mg/l) in non-alcoholic mulled wine from Sweden,fa,E 210 - benzoic acid,185 mg/l,non-alcoholic mulled wine,Sweden
information,12/11/2010,17/01/2011,2010.1557,Slovakia,food,cereals and bakery products,unauthorised use of colour E 102 - tartrazine (8.38 mg/kg - ppm) and of colour E 110 - Sunset Yellow FCF (0.72 mg/kg - ppm) in noodles from the United Kingdom,fa,colour E 102 - tartrazine,8.38 mg/kg - ppm,noodle,the United Kingdom
border rejection,12/11/2010,12/11/2010,2010.BZB,Ireland,food,confectionery,E 425 - konjac unauthorised in jelly mini cups from China,fa,E 425 - konjac,,jelly mini cups,China
information,11/11/2010,22/11/2010,2010.1550,Greece,food,"soups, broths, sauces and condiments","sulphite (79.2 mg/kg - ppm) unauthorised in sriracha chilli sauce from the United States, via the Netherlands",fa,sulphite,79.2 mg/kg - ppm,sriracha chilli sauce,"the United States, via the Netherlands"
border rejection,08/11/2010,08/11/2010,2010.BYA,Spain,food,meat and meat products (other than poultry),E 231 - orthophenylphenol (0.05 mg/kg - ppm) in salted pork casings from Egypt,fa,E 231 - orthophenylphenol,0.05 mg/kg - ppm,salted pork casings,Egypt
information,05/11/2010,05/11/2010,2010.1510,Italy,food,fish and fish products,unauthorised use of colour E 124 - Ponceau 4R / cochineal red A in vacuum packed frozen tuna (Thunnes albacares) from the Netherlands,fa,colour E 124 - Ponceau 4R / cochineal red A,,vacuum packed frozen tuna (thunnes albacares),the Netherlands
border rejection,03/11/2010,26/01/2012,2010.BXB,Latvia,food,fruits and vegetables,too high content of E 200 - sorbic acid (2546 mg/kg - ppm) in dried pitted prunes from Argentina,fa,E 200 - sorbic acid,2546 mg/kg - ppm,dried pitted prunes,Argentina
information,03/11/2010,12/11/2010,2010.1491,Slovakia,food,non-alcoholic beverages,too high content of sweetener E 952 - cyclamate (574.36 mg/kg - ppm) in cocktail flavoured drink powder from Turkey,fa,sweetener E 952 - cyclamate,574.36 mg/kg - ppm,cocktail flavoured drink powder,Turkey
alert,27/10/2010,09/12/2010,2010.1458,Greece,food,fruits and vegetables,"undeclared sulphite (55.8 mg/kg - ppm) in dried figs from Turkey, packaged in the United Kingdom",fa,sulphite,55.8 mg/kg - ppm,dried figs,"Turkey, packaged in the United Kingdom"
border rejection,26/10/2010,08/12/2010,2010.BVN,Poland,food,alcoholic beverages,E 363 - succinic acid unauthorised in vodka from Ukraine,fa,E 363 - succinic acid,,vodka,Ukraine
information,25/10/2010,07/12/2010,2010.1449,Czech Republic,food,"dietetic foods, food supplements, fortified foods",too high content of the sum of colours E 132 - indigotine /  indigo carmine (309 mg/kg - ppm) and of colour E 133 - Brilliant Blue FCF (355 mg/kg - ppm) in food supplement for sportsmen from the United States via Hungary,fa,the sum of colour E 132 - indigotine / indigo carmine,309 mg/kg - ppm,food supplement,the United States via Hungary
information,14/10/2010,07/01/2015,2010.1389,Czech Republic,food,cereals and bakery products,too high content of sulphite (124 mg/kg - ppm) in salty crackers from Hungary,fa,sulphite,124 mg/kg - ppm,salty crackers,Hungary
information,14/10/2010,07/01/2015,2010.1388,Czech Republic,food,cereals and bakery products,too high content of sulphite (124 mg/kg - ppm) in salty crackers with paprika flavour from Hungary,fa,sulphite,124 mg/kg - ppm,salty crackers with paprika flavour,Hungary
alert,13/10/2010,25/07/2011,2010.1385,Germany,food,non-alcoholic beverages,"too high content of E 210 - benzoic acid (477 mg/l) and of E 200 - sorbic acid (389 mg/l), high content of caffeine (674 mg/l) in and risk of overdosage with nicotinic acid (14.63 mg/100ml) from consuming energy drink from the United States, via the Netherlands",fa,E 210 - benzoic acid,477 mg/l,and risk of overdosage with nicotinic acid (14.63 mg/100ml),"the United States, via the Netherlands"
information,05/10/2010,01/12/2010,2010.1344,Slovakia,food,"dietetic foods, food supplements, fortified foods","too high content of sweetener E 952 - cyclamate (350 mg/kg - ppm) in powder drink from Turkey, via Hungary",fa,sweetener E 952 - cyclamate,350 mg/kg - ppm,powder drink,"Turkey, via Hungary"
border rejection,01/10/2010,01/10/2010,2010.BRM,Italy,food,ices and desserts,too high content of colour E 124 - Ponceau 4R / cochineal red A (in product: 897; in dessert: 75; 135; 42 mg/kg - ppm) in jelly for pudding from Ecuador,fa,colour E 124 - Ponceau 4R / cochineal red A,in product: 897;,dessert: 75; 135; 42 mg/kg - ppm) in jelly for pudding,Ecuador
border rejection,27/09/2010,29/10/2012,2010.BQM,Slovakia,food,confectionery,"too high content of colour E 124 - Ponceau 4R / cochineal red A (95,4 mg/kg - ppm) in watermelon bubble gum from Turkey",fa,colour E 124 - Ponceau 4R / cochineal red A,"95,4 mg/kg - ppm",watermelon bubble gum,Turkey
border rejection,24/09/2010,21/10/2010,2010.BQF,Cyprus,food,"soups, broths, sauces and condiments",unauthorised use of colour E 127 - erythrosine in spaghetti sauce from the Philippines,fa,colour E 127 - erythrosine,,spaghetti sauce,the Philippines
alert,23/09/2010,21/12/2011,2010.1282,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substance yohimbine (0,888 mg/item) and unauthorised use of colour E 127 - erythrosine in food supplement from the United States",fa,yohimbine,"0,888 mg/item",food supplement,the United States
border rejection,14/09/2010,14/09/2010,2010.BOU,Spain,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (198; 511 mg/l) in tea and yerba mate extract drink from the United States,fa,E 210 - benzoic acid,198; 511 mg/l,tea and yerba mate extract drink,the United States
border rejection,01/09/2010,11/09/2012,2010.BMO,United Kingdom,food,non-alcoholic beverages,too high content of colour E 110 - Sunset Yellow FCF (68 mg/l) in soft drink from India,fa,colour E 110 - Sunset Yellow FCF,68 mg/l,carbonated soft drink,India
border rejection,01/09/2010,01/09/2010,2010.BMN,United Kingdom,food,"nuts, nut products and seeds",unauthorised use of colour E 127 - erythrosine (detected) in sugar coated fennel seeds from India,fa,colour E 127 - erythrosine,detected,sugar coated fennel seed,India
border rejection,27/08/2010,28/09/2012,2010.BLV,United Kingdom,food,herbs and spices,unauthorised use of colour E 160b - annato/bixin/norbixin (100 mg/kg - ppm) in chilli powder from Guinea,fa,colour E 160b - annato/bixin/norbixin,100 mg/kg - ppm,chilli powder,Guinea
border rejection,27/08/2010,27/08/2010,2010.BLX,United Kingdom,food,confectionery,suffocation risk as a result of the consumption of and E 407 - carrageenan unauthorised in jelly mini-cups from Malaysia,fa,E 407 - carrageenan,,jelly mini-cups,Malaysia
border rejection,25/08/2010,11/09/2012,2010.BKS,Finland,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (385 mg/l) in vanilla soft drink from the United States,fa,E 210 - benzoic acid,385 mg/l,vanilla soft drink,the United States
border rejection,25/08/2010,16/07/2012,2010.BKW,Finland,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (605 mg/l) in grape soft drink from the United States,fa,E 210 - benzoic acid,605 mg/l,grape soft drink,the United States
alert,25/08/2010,25/08/2010,2010.1170,United Kingdom,food,alcoholic beverages,undeclared sulphite in champagne from France,fa,sulphite,,champagne,France
border rejection,25/08/2010,25/08/2010,2010.BKV,Finland,food,non-alcoholic beverages,too high content of E 210 - benzoic acid (225 mg/l) in cherry soft drink from the United States,fa,E 210 - benzoic acid,225 mg/l,cherry soft drink,the United States
alert,24/08/2010,11/10/2010,2010.1164,Slovakia,food,"soups, broths, sauces and condiments",undeclared sulphite (23; 19.6 mg/kg - ppm) in mustard from the Czech Republic,fa,sulphite,23; 19.6 mg/kg - ppm,mustard,the Czech Republic
border rejection,20/08/2010,20/08/2010,2010.BKB,Greece,food,cereals and bakery products,too high content of E 280 - propionic acid (2553.7 mg/kg - ppm) in frozen hotdog buns from Turkey,fa,E 280 - propionic acid,2553.7 mg/kg - ppm,frozen hotdog buns,Turkey
border rejection,20/08/2010,20/08/2010,2010.BKA,Greece,food,cereals and bakery products,too high content of E 280 - propionic acid (2473.4 mg/kg - ppm) in frozen hotdog buns from Turkey,fa,E 280 - propionic acid,2473.4 mg/kg - ppm,frozen hotdog buns,Turkey
information,18/08/2010,16/11/2010,2010.1141,Germany,food,"soups, broths, sauces and condiments","E 210 - benzoic acid (498; 747.9 mg/kg - ppm) unauthorised in palm sugar from Thailand, via the Netherlands",fa,E 210 - benzoic acid,498; 747.9 mg/kg - ppm,palm sugar,"Thailand, via the Netherlands"
information,06/08/2010,21/04/2011,2010.1089,Denmark,food,confectionery,unauthorised use of colour E 160b - annato/bixin/norbixin (7.0 mg/kg - ppm) in lollipops from Argentina,fa,colour E 160b - annato/bixin/norbixin,7.0 mg/kg - ppm,lollipop,Argentina
information,06/08/2010,04/10/2010,2010.1080,Italy,food,cereals and bakery products,E 210 - benzoic acid (43.9; 38.6; 35 mg/kg - ppm) unauthorised in soft wheat pasta from China,fa,E 210 - benzoic acid,43.9; 38.6; 35 mg/kg - ppm,soft wheat pasta,China
border rejection,05/08/2010,11/09/2012,2010.BIB,Greece,food,non-alcoholic beverages,unauthorised use of colour E 160b - annato/bixin/norbixin (0.5 mg/kg - ppm) in mango nectar from Egypt,fa,colour E 160b - annato/bixin/norbixin,0.5 mg/kg - ppm,mango nectar,Egypt
information,04/08/2010,07/01/2015,2010.1071,Italy,food,crustaceans and products thereof,too high content of sulphite (354; 399 mg/kg - ppm) in whole frozen Norway lobsters (Nephrops norvegicus) from the Netherlands,fa,sulphite,354; 399 mg/kg - ppm,whole frozen norway lobster (nephrops norvegicus),the Netherlands
information,03/08/2010,10/11/2010,2010.1066,Spain,food,confectionery,sulphite unauthorised in quince jam from Spain,fa,sulphite,,quince jam,Spain
border rejection,29/07/2010,02/08/2010,2010.BHL,Finland,food,"dietetic foods, food supplements, fortified foods",too high content of the sum of  E 210 - benzoic acid and of E 200 - sorbic acid (Sa + Ba = 2650 mg/l) in food supplement from the United States,fa,the sum of E 210 - benzoic acid,Sa + Ba = 2650 mg/l,food supplement,the United States
information,28/07/2010,07/01/2015,2010.1036,Italy,food,crustaceans and products thereof,too high content of sulphite (368 mg/kg - ppm) in rose shrimps from Croatia,fa,sulphite,368 mg/kg - ppm,rose shrimps,Croatia
alert,26/07/2010,02/08/2010,2010.1021,France,food,confectionery,"suffocation risk as a result of the consumption of and E 407 - carrageenan unauthorised in fruit jelly mini-cups from Malaysia, via the United Kingdom",fa,E 407 - carrageenan,,fruit jelly mini-cups,"Malaysia, via the United Kingdom"
border rejection,23/07/2010,11/09/2012,2010.BGV,Greece,food,non-alcoholic beverages,unauthorised use of colour E 160b - annato/bixin/norbixin (>LOD (=0.1) mg/kg - ppm) in mango fruit nectar from Egypt,fa,colour E 160b - annato/bixin/norbixin,>LOD,mango fruit nectar,Egypt
information,23/07/2010,23/07/2010,2010.1016,Denmark,food,meat and meat products (other than poultry),E 251 - sodium nitrate (47 mg/kg - ppm) unauthorised in paté from France,fa,E 251 - sodium nitrate,47 mg/kg - ppm,paté,France
border rejection,22/07/2010,25/07/2012,2010.BGR,United Kingdom,food,herbs and spices,unauthorised colour (erythrosine) in sugar coated fenned seed from India,fa,colour,erythrosine,sugar coated fenned seed,India
alert,22/07/2010,08/11/2010,2010.0999,Denmark,food,confectionery,undeclared sulphite in orange flavoured water based ice cream from Denmark,fa,sulphite,,orange flavoured water based ice cream,Denmark
border rejection,22/07/2010,22/07/2010,2010.BGP,Greece,food,cereals and bakery products,"too high content of E 280 - propionic acid (2418,2 mg/kg - ppm) in frozen burger buns from Turkey",fa,E 280 - propionic acid,"2418,2 mg/kg - ppm",frozen burger buns,Turkey
information,20/07/2010,10/04/2014,2010.0993,Denmark,food,fruits and vegetables,"sweetener E 952 - cyclamate and sweetener E 954 - saccharin unauthorised in prunes from China, via Hong Kong and via Sweden",fa,sweetener E 952 - cyclamate,,prunes,"China, via Hong Kong and via Sweden"
information,20/07/2010,20/07/2010,2010.0994,Denmark,food,herbs and spices,E 316 - sodium erythorbate unauthorised in wasabi powder from China,fa,E 316 - sodium erythorbate,,wasabi powder,China
border rejection,19/07/2010,11/09/2012,2010.BGC,Poland,food,confectionery,unauthorised use of colour E 127 - erythrosine in jelly sweets from Brazil,fa,colour E 127 - erythrosine,,jelly sweets,Brazil
information,16/07/2010,07/01/2015,2010.0988,Czech Republic,food,fruits and vegetables,"too high content of sulphite (822 mg/kg - ppm) in candied pear halves from China, via the Netherlands",fa,sulphite,822 mg/kg - ppm,candied pear halves,"China, via the Netherlands"
information,14/07/2010,29/07/2010,2010.0966,Germany,food,fruits and vegetables,"E 523 - aluminium ammonium sulphate (aluminium: 208 mg/kg - ppm) unauthorised in angel hair noodles made from sweet potato from South Korea, via the Netherlands",fa,E 523 - aluminium ammonium sulphate,aluminium: 208 mg/kg - ppm,angel hair noodle made,"South Korea, via the Netherlands"
information,05/07/2010,19/10/2010,2010.0894,Spain,food,fruits and vegetables,undeclared sulphite (86.7 mg/kg - ppm) in sliced natural mushrooms from Spain,fa,sulphite,86.7 mg/kg - ppm,sliced natural mushrooms,Spain
information,05/07/2010,20/07/2010,2010.0896,Italy,food,fruits and vegetables,E 210 - benzoic acid and E 200 - sorbic acid unauthorised in seaweed extract from Denmark,fa,E 210 - benzoic acid,,seaweed extract,Denmark
information,01/07/2010,02/11/2010,2010.0875,Greece,food,non-alcoholic beverages,"too high content of colour E 124 - Ponceau 4R / cochineal red A, undeclared E 200 - sorbic acid in and insufficient labelling of grenadine from Spain",fa,"colour E 124 - Ponceau 4R / cochineal red A, E 200 - sorbic acid",,and insufficient labelling of grenadine,Spain
border rejection,28/06/2010,07/01/2015,2010.BDA,Greece,food,fruits and vegetables,too high content of sulphite (325.5 mg/kg - ppm) in pickled vegetables from Turkey,fa,sulphite,325.5 mg/kg - ppm,pickled vegetable,Turkey
border rejection,28/06/2010,07/08/2012,2010.BCY,Finland,food,non-alcoholic beverages,E 210 - benzoic acid (415 mg/l) unauthorised in vanilla soft drink from the United States,fa,E 210 - benzoic acid,415 mg/l,vanilla soft drink,the United States
information,28/06/2010,23/07/2010,2010.0851,Slovakia,food,fruits and vegetables,"too high content of E 200 - sorbic acid (1200 mg/kg - ppm) in dried pitted prunes from the Czech Republic, with raw material from Argentina",fa,E 200 - sorbic acid,1200 mg/kg - ppm,dried pitted prunes,"the Czech Republic, with raw material from Argentina"
information,22/06/2010,07/01/2015,2010.0824,Italy,food,crustaceans and products thereof,too high content of sulphite (333 mg/kg - ppm) in frozen shrimps from Portugal,fa,sulphite,333 mg/kg - ppm,frozen shrimps,Portugal
border rejection,22/06/2010,07/08/2012,2010.BCD,Greece,food,ices and desserts,too high content of colour E 110 - Sunset Yellow FCF (71.6 mg/kg - ppm) in orange flavored sherbet dots from the United States,fa,colour E 110 - Sunset Yellow FCF,71.6 mg/kg - ppm,orange flavored sherbet dots,the United States
border rejection,22/06/2010,07/08/2012,2010.BCB,Greece,food,ices and desserts,too high content of colour (total: 215.3 mg/kg - ppm) and of colour E 110 - Sunset Yellow FCF (109.5 mg/kg - ppm) in rainbow flavored ice dots from the United States,fa,colour,total: 215.3 mg/kg - ppm,rainbow flavored ice dots,the United States
information,18/06/2010,24/08/2010,2010.0801,Germany,food,"soups, broths, sauces and condiments","E 210 - benzoic acid (383.4 mg/kg - ppm) unauthorised in palm sugar from Thailand, via the Netherlands",fa,E 210 - benzoic acid,383.4 mg/kg - ppm,palm sugar,"Thailand, via the Netherlands"
border rejection,17/06/2010,07/01/2015,2010.BBH,Greece,food,fruits and vegetables,too high content of sulphite (2789 mg/kg - ppm) in dried apricots from Turkey,fa,sulphite,2789 mg/kg - ppm,dried apricot,Turkey
information,16/06/2010,24/06/2010,2010.0785,Italy,food,crustaceans and products thereof,undeclared sulphite (23 mg/kg - ppm) in shelled and precooked shrimps from Denmark,fa,sulphite,23 mg/kg - ppm,shelled and precooked shrimps,Denmark
border rejection,16/06/2010,16/06/2010,2010.BBB,Italy,food,cephalopods and products thereof,unauthorised use of E 500 - sodium carbonates in frozen cuttlefish and squid from India,fa,E 500 - sodium carbonates,,frozen cuttlefish and squid,India
information,15/06/2010,07/01/2015,2010.0782,Italy,food,crustaceans and products thereof,too high content of sulphite (266.5 mg/kg - ppm) in frozen whole scampi (Nephrops norvegicus) from the United Kingdom,fa,sulphite,266.5 mg/kg - ppm,frozen whole scampi (nephrops norvegicus),the United Kingdom
border rejection,11/06/2010,19/06/2012,2010.BAJ,Spain,food,fruits and vegetables,unauthorised use of colour E 102 - tartrazine in pickled mustard and vegetables from Thailand,fa,colour E 102 - tartrazine,,pickled mustard and vegetables,Thailand
border rejection,11/06/2010,23/03/2011,2010.BAO,Italy,food,confectionery,unauthorised use of colour E 129 - Allura Red AC in strawberry jam from Pakistan,fa,colour E 129 - Allura Red AC,,strawberry jam,Pakistan
information,11/06/2010,13/10/2010,2010.0765,Denmark,food,cereals and bakery products,"unauthorised use of colour E 102 - tartrazine and of colour E 133 - Brilliant Blue FCF in tapioca pearls from Thailand, via the Netherlands",fa,colour E 102 - tartrazine,,tapioca pearls,"Thailand, via the Netherlands"
alert,11/06/2010,30/06/2010,2010.0763,Slovakia,food,fruits and vegetables,undeclared sulphite (370 mg/kg - ppm) in sour cabbage from Hungary,fa,sulphite,370 mg/kg - ppm,sour cabbage,Hungary
information,09/06/2010,21/06/2010,2010.0745,Finland,food,"dietetic foods, food supplements, fortified foods","unauthorised use of colour E 127 - erythrosine in food supplement for men from the United States, via Estonia",fa,colour E 127 - erythrosine,,food supplement,"the United States, via Estonia"
information,04/06/2010,04/06/2010,2010.0722,United Kingdom,food,prepared dishes and snacks,too high content of colour E 110 - Sunset Yellow FCF (670 mg/kg dry matter) in cheese wheel snacks from Iran,fa,colour E 110 - Sunset Yellow FCF,670 mg/kg dry matter,cheese wheel snacks,Iran
information,04/06/2010,04/06/2010,2010.0721,United Kingdom,food,prepared dishes and snacks,too high content of colour E 110 - Sunset Yellow FCF (345 mg/kg dry matter) in cheese snacks from Iran,fa,colour E 110 - Sunset Yellow FCF,345 mg/kg dry matter,cheese snack,Iran
information,02/06/2010,07/08/2012,2010.0702,Estonia,food,fruits and vegetables,"too high content of E 200 - sorbic acid (1420 mg/kg - ppm) in dried pitted prunes from Argentina, via Lithuania",fa,E 200 - sorbic acid,1420 mg/kg - ppm,dried pitted prunes,"Argentina, via Lithuania"
information,02/06/2010,11/08/2010,2010.0701,Greece,food,crustaceans and products thereof,unauthorised use of colour E 110 - Sunset Yellow FCF and of colour E 124 - Ponceau 4R / cochineal red A in peeled shrimps from China,fa,colour E 110 - Sunset Yellow FCF,,peeled shrimps,China
alert,02/06/2010,02/06/2010,2010.0704,Ireland,food,meat and meat products (other than poultry),undeclared sulphite (268 mg/kg - ppm) in sausages from Ireland,fa,sulphite,268 mg/kg - ppm,sausage,Ireland
border rejection,31/05/2010,26/01/2012,2010.AYU,Slovakia,food,fruits and vegetables,too high content of E 200 - sorbic acid (1355.9 mg/kg - ppm) in dried pitted prunes from Argentina,fa,E 200 - sorbic acid,1355.9 mg/kg - ppm,dried pitted prunes,Argentina
information,26/05/2010,07/01/2015,2010.0647,Estonia,food,fruits and vegetables,"too high content of sulphite (2418 mg/kg - ppm) in dried apricots from Turkey, via Lithuania",fa,sulphite,2418 mg/kg - ppm,dried apricot,"Turkey, via Lithuania"
information,25/05/2010,20/07/2010,2010.0642,Denmark,food,fish and fish products,"E 251 - sodium nitrate (34; 12.6 mg/kg - ppm) unauthorised in smoked eel and frozen fresh eel (Anguilla anguilla) from China, via Germany",fa,E 251 - sodium nitrate,34; 12.6 mg/kg - ppm,smoked eel and frozen fresh eel (anguilla anguilla),"China, via Germany"
alert,19/05/2010,07/01/2015,2010.0614,Italy,food,crustaceans and products thereof,"too high content of sulphite (250 mg/kg - ppm) in chilled prawns (Penaeus vannamei) from Spain, with raw material from Cuba",fa,sulphite,250 mg/kg - ppm,chilled prawns (penaeus vannamei),"Spain, with raw material from Cuba"
alert,13/05/2010,28/05/2010,2010.0591,Cyprus,food,meat and meat products (other than poultry),undeclared sulphite (54 mg/kg - ppm) in vacuum packed sausages from Bulgaria,fa,sulphite,54 mg/kg - ppm,vacuum packed sausage,Bulgaria
information,12/05/2010,18/05/2010,2010.0586,Slovakia,food,fruits and vegetables,E 210 - benzoic acid (42.2 mg/kg - ppm) unauthorised in sterilized mixed vegetables from Hungary,fa,E 210 - benzoic acid,42.2 mg/kg - ppm,sterilized mixed vegetables,Hungary
information,11/05/2010,07/01/2015,2010.0572,Finland,food,"nuts, nut products and seeds",too high content of sulphite (2450; 2620 (in the yellow raisins) mg/kg - ppm) in nut and fruit mixture from Italy,fa,sulphite,2450; 2620,nut and fruit mixture,Italy
alert,11/05/2010,11/05/2010,2010.0571,Germany,food,confectionery,"suffocation risk as a result of the consumption of and E 407 - carrageenan unauthorised in mini cup jellies from Malaysia, via the Netherlands",fa,E 407 - carrageenan,,mini cup jellies,"Malaysia, via the Netherlands"
